,comment_id,anonymous,graduating_year,job_title,tagline,created_at,program,overall_score,overall,curriculum,job_support,school
2773,288304,False,2022,,Data Science Career Track,4/29/2022,Data Science Career Track,5.0,5.0,5.0,5.0,springboard
2774,288054,False,2022,,Great value for an effective curriculum.,4/25/2022,Software Engineering Career Track,5.0,5.0,5.0,5.0,springboard
2775,288039,False,2022,Production Manager,They truly want you to succeed,4/25/2022,UI/UX Design Career Track,5.0,5.0,5.0,5.0,springboard
2776,288006,False,2022,,I recommend Springboard 1000%,4/24/2022,UI/UX Design Career Track,5.0,5.0,5.0,5.0,springboard
2777,287963,False,2022,Ux/UI design,Good to get the fundamentals,4/22/2022,UI/UX Design Career Track,3.3,4.0,3.0,3.0,springboard
2778,287790,False,2022,Software Engineering Career Track,Overall strong program,4/17/2022,Software Engineering Career Track,4.3,4.0,5.0,4.0,springboard
2779,287697,False,2022,,Full Scope UI/UX Knowledge,4/13/2022,UI/UX Design Career Track,4.0,4.0,4.0,4.0,springboard
2780,287669,False,2022,Freelance tutor,"Career coaching, mentoring, data analysis and machine learning",4/13/2022,Data Science Career Track,4.7,5.0,4.0,5.0,springboard
2781,287655,True,2022,,Very good and well constructed course,4/12/2022,Software Engineering Career Track,5.0,5.0,5.0,5.0,springboard
2782,287626,False,2022,,"Difficult, But Worth it",4/12/2022,UI/UX Design Career Track,4.3,5.0,4.0,4.0,springboard
2783,287486,False,2022,Scientist,Worth every minute of learning,4/7/2022,Data Science Career Track,4.3,5.0,4.0,4.0,springboard
2784,287476,False,2022,Security Anaylist,Springboard has so much support to offer a new student and made my experience as someone new to IT very friendly.,4/6/2022,Cyber Security Career Track,4.3,4.0,5.0,4.0,springboard
2785,287413,False,2022,Data Analyst,A great learning experience!,4/5/2022,Data Analytics Career Track,5.0,5.0,5.0,5.0,springboard
2786,287408,False,2022,,"Overall, a great experience",4/5/2022,UI/UX Design Career Track,4.3,5.0,4.0,4.0,springboard
2787,287238,False,2022,,Hard work but worth it!,3/30/2022,UI/UX Design Career Track,5.0,5.0,5.0,5.0,springboard
2788,287231,False,2022,,A great way to learn about Data Science,3/30/2022,Data Science Career Track,4.7,5.0,5.0,4.0,springboard
2789,287213,False,2022,,Great Education and Support,3/29/2022,UI/UX Design Career Track,5.0,5.0,5.0,5.0,springboard
2790,287205,False,2021,,"Decent course, unreasonable customer service and job guarantee. (Great job advisor and course mentor)",3/29/2022,Data Science Career Track,2.5,2.0,3.0,,springboard
2791,287132,True,2022,,HIGHLY RECOMMEND!,3/26/2022,UI/UX Design Career Track,5.0,5.0,5.0,5.0,springboard
2792,287097,False,2022,Software Engineer,Great course with Colt Steele,3/25/2022,Software Engineering Career Track,4.3,4.0,5.0,4.0,springboard
2793,287047,False,2022,,Outstanding Experience with Springboard,3/23/2022,Data Analytics Career Track,5.0,5.0,5.0,5.0,springboard
2794,287045,False,2022,Product Designer Intern,Grateful for the Jumpstart into my Dream Industry!,3/23/2022,UI/UX Design Career Track,5.0,5.0,5.0,5.0,springboard
2795,287000,False,2022,,Springboard’s Data Science Career Track Review,3/22/2022,Data Science Career Track,4.3,4.0,4.0,5.0,springboard
2796,286999,False,2022,Software Developer,Helps me even after getting the job,3/22/2022,Software Engineering Career Track,4.7,4.0,5.0,5.0,springboard
2797,286931,False,2022,Software Engineer,Great Course to Ge Back in the Game,3/19/2022,Software Engineering Career Track Prep Course,4.7,5.0,5.0,4.0,springboard
2798,286854,False,2022,UX/UI Designer,UX/UI Design Bootcamp,3/16/2022,UI/UX Design Career Track,5.0,5.0,5.0,5.0,springboard
2799,286804,False,2022,UX Designer,Springboard is detailed,3/15/2022,,4.7,4.0,5.0,5.0,springboard
2800,286711,True,2022,Biological Scientist,Springboard was overall a good experience!,3/12/2022,UI/UX Design Career Track,4.0,4.0,4.0,4.0,springboard
2801,286687,True,2022,,Great overall experience,3/11/2022,Data Science Career Track,4.7,5.0,4.0,5.0,springboard
2802,286685,False,2022,,Great experience with Springboard Data Analytics,3/11/2022,Data Analytics Career Track,5.0,5.0,5.0,5.0,springboard
